Autor(es);Año;Título;Revista;Volumen;Páginas;DOI;Citado_Por
P. Renna, M. Ambrico;2015;Design and reconfiguration models for dynamic cellular manufacturing to handle market changes;Int. J. Comp. Integ. M.;28(2);170–186;N/A;7
A.L. Soyster;1973;Convex programming with set-inclusive constraints and applications to inexact linear programming;Oper. Res.;21(5);1154–1157;N/A;7
J.M. Mulvey, R.J. Vanderbei, S.A. Zenios;1995;Robust optimization of large-scale systems;Oper. Res.;43;264–281;N/A;7
D. Alem, R. Morabito;2012;Production planning in furniture settings via robust optimization;Comput. Oper. Res.;39;139–150;N/A;7
A. Ben-Tal, A. Nemirovski;1998;Robust convex optimization;Math. Oper. Res.;23;769–805;N/A;7
A. Ben-Tal, A. Nemirovski;1999;Robust solutions of uncertain linear programs;Oper. Res. Lett.;25(1);1–13;N/A;7
A. Ben-Tal, A. Nemirovski;2000;Robust solutions of linear programming problems contaminated with uncertain data;Math. Program.;88(3);411–424;N/A;7
L. El Ghaoui, H. Lebret;1997;Robust solutions to least-squares problems with uncertain data;SIAM J. Matrix Anal. Appl.;18(4);1035–1064;N/A;7
D. Bertsimas, M. Sim;2004;The price of robustness;Oper. Res.;52(1);35–53;N/A;7
D. Bertsimas, M. Sim;2003;Robust discrete optimization and network flows;Math. Program.;98;43–71;N/A;7
V.R. Ghezavati, S.J. Sajjadi, M. DehghanNayeri;2011;Integrating strategic and tactical decisions to robust designing of cellular manufacturing under uncertainty: Fixed Suppliers in supply chain;Int. J. Comput. Intell. Syst.;4;837–854;N/A;7
M. Soleimani-damaneh, G.R. Jahanshahloo, S. Abbasbandy;2006;Computational and theoretical pitfalls in some current performance measurement techniques and a new approach;Appl. Math. Comput.;181;1199–1207;N/A;7
G.J. Doole;2012;Evaluation of an agricultural innovation in the presence of severe parametric uncertainty: An application of robust counterpart optimization;Comput. Electron. Agric.;84;16–25;N/A;7
C.H. Glock, M.Y. Jaber;2013;Learning effects and the phenomenon of moving bottlenecks in a two-stage production system;Appl. Math. Model.;37;8617-8628;N/A;7
Alhourani, F.;2013;Clustering Algorithm for Solving Group Technology Problem with Multiple Process Routings;Computers and Industrial Engineering;66;781–790;N/A;8
Alhourani, F., and H. Seifoddini;2007;Machine Cell Formation for Production Management in Cellular Manufacturing Systems;International Journal of Production Research;45;913–934;N/A;8
Aneke, N. A. G., and A. S. Carrie;1986;A Design Technique for the Layout of Multi-product Flowlines;International Journal of Production Research;24(3);471–481;N/A;8
Arkat, J., F. Naseri, F. Ahmadizar;2011;A Stochastic Model for the Generalised Cell Formation Problem Considering Machine Reliability;International Journal of Computer Integrated Manufacturing;24(12);1095–1102;N/A;8
Bhide, P., A. Bhandwale, T. Kesavadas;2005;Cell Formation Using Multiple Process Plans;Journal of Intelligent Manufacturing;16;53–65;N/A;8
Black, J. T.;2007;Design Rules for Implementing the Toyota Production System;International Journal of Production Research;45(16);3639–3664;N/A;8
Boutsinas, B.;2013;Machine-part Cell Formation Using Biclustering;European Journal of Operational Research;230;563–572;N/A;8
Chung, S.-H., T.-H. Wu, C.-C. Chang;2011;An Efficient Tabu Search Algorithm to the Cell Formation Problem with Alternative Routings and Machine Reliability Considerations;Computers and Industrial Engineering;60;7–15;N/A;8
Das, K.;2008;A Comparative Study of Exponential Distribution vs. Weibull Distribution in Machine Reliability Analysis in a CMS Design;Computers & Industrial Engineering;54(1);12–33;N/A;8
Das, K., W. Abdul-Kader;2011;Consideration of Dynamic Changes in Machine Reliability and Part Demand: A Cellular Manufacturing Systems Design Model;International Journal of Production Research;49(7);2123–2142;N/A;8
Das, K., R. S. Lashkari, S. Sengupta;2007a;Reliability Consideration in the Design and Analysis of Cellular Manufacturing Systems;International Journal of Production Economics;105;243–262;N/A;8
Das, K., R. S. Lashkari, S. Sengupta;2007b;Machine Reliability and Preventive Maintenance Planning for Cellular Manufacturing Systems;European Journal of Operational Research;183;162–180;N/A;8
Defersha, F. M., M. Chen;2008;A Linear Programming Embedded Genetic Algorithm for an Integrated Cell Formation and Lot Sizing Considering Product Quality;European Journal of Operational Research;187(1);46–69;N/A;8
Gupta, T.;1993;Design of Manufacturing Cells for Flexible Environment Considering Alternative Routeing;International Journal of Production Research;31(6);1259–1273;N/A;8
Jabal Ameli, M. S., J. Arkat;2008;Cell Formation with Alternative Process Routings and Machine Reliability Consideration;The International Journal of Advanced Manufacturing Technology;35;761–768;N/A;8
Jabal Ameli, M. S., J. Arkat, F. Barzinpour;2008;Modelling the Effects of Machine Breakdowns in the Generalized Cell Formation Problem;The International Journal of Advanced Manufacturing Technology;39;838–850;N/A;8
Jouzdani, J., Barzinpour, F., Shafia, M. A., Fathian, M.;2014;Applying Simulated Annealing to a Generalized Cell Formation Problem Considering Alternative Routings and Machine Reliability;Asia-Pacific Journal of Operational Research;31(4);1450021-1–1450021-26;N/A;8
Kao, Y., C. Lin;2012;A PSO-based Approach to Cell Formation Problems with Alternative Process Routings;International Journal of Production Research;50(15);4075–4089;N/A;8
Kazerooni, M., H. S. Luong, K. Abhary;1997;A Genetic Algorithm Based Cell Design Considering Alternative Routing;Computer Integrated Manufacturing System;10(2);93–107;N/A;8
Khaksar-Haghani, F., R. Kia, I. Mahdavi, M. Kazemi;2013;A Genetic Algorithm for Solving a Multi-floor Layout Design Model of a Cellular Manufacturing System with Alternative Process Routings and Flexible Configuration;The International Journal of Advanced Manufacturing Technology;66;845–865;N/A;8
Lei, D., Z. Wu;2005;Tabu Search Approach Based on a Similarity Coefficient for Cell Formation in Generalized Group Technology;International Journal of Production Research;43;4035–4047;N/A;8
McAuley, J.;1972;Machine Grouping for Efficient Production;Production Engineer;51;53–57;N/A;8
Miltenburg, J.;2001;One-piece Flow Manufacturing on U-shaped Production Lines: A Tutorial;IIE Transactions;33(4);303–321;N/A;8
Naadimuthu, G., P. Gultom, E. S. Lee;2011;Cell Formation Design Using Fuzzy Relations Based on a Similarity Coefficient;Advances in Production Engineering & Management;6(2);77–86;N/A;8
Nair, G. J., T. T. Narendran;1999;Accord: A Bi-criterion Algorithm for Cell Formation Using Ordinal and Ratio-level Data;International Journal of Production Research;37;539–556;N/A;8
Nsakanda, A. L., M. Diaby, W. L. Price;2006;Hybrid Genetic Approach for Solving Large-scale Capacitated Cell Formation Problems with Multiple Routings;European Journal of Operational Research;171(3);1051–1070;N/A;8
Ozcelik, O., T. Sarac;2012;A Genetic Algorithm Extended Modified Sub-gradient Algorithm for Cell Formation Problem with Alternative Routings;International Journal of Production Research;50(15);4025–4037;N/A;8
Pajoutan, M., A. Golmohammadi, M. Seifbarghy;2014;CMS Scheduling Problem Considering Material Handling and Routing Flexibility;The International Journal of Advanced Manufacturing Technology;72;881–893;N/A;8
Papaioannou, G., J. M. Wilson;2010;The Evolution of Cell Formation Problem Methodologies Based on Recent Studies (1997–2008): Review and Directions for Future Research;European Journal of Operational Research;206;509–521;N/A;8
Rivera-Gomez, H., A. Gharbi, J. P. Kenné;2013;Joint Control of Production, Overhaul, and Preventive Maintenance for a Production System Subject to Quality and Reliability Deteriorations;The International Journal of Advanced Manufacturing Technology;69(9–12);2111–2130;N/A;8
Sarac, T., F. Ozcelik;2012;A Genetic Algorithm with Proper Parameters for Manufacturing Cell Formation Problems;Journal of Intelligent Manufacturing;23(4);1047–1061;N/A;8
Satoglu, S. I., M. B. Durmusoglu, T. Ertay;2010;A Mathematical Model and a Heuristic Approach for Design of the Hybrid Manufacturing Systems to Facilitate One-piece Flow;International Journal of Production Research;48;5195–5220;N/A;8
Won, Y., K. R. Currie;2007;Fuzzy ART/RRR-RSS: A Two-phase Neural Network Algorithm for Part-machine Grouping in Cellular Manufacturing;International Journal of Production Research;45(9);2073–2104;N/A;8
Won, Y., S. Kim;1997;Multiple Criteria Clustering Algorithm for Solving the Group Technology Problem with Multiple Process Routings;Computers and Industrial Engineering;32;207–220;N/A;8
Won, Y., R. Logendran;2015;Effective Two-phase P-median Approach for the Balanced Cell Formation in the Design of Cellular Manufacturing System;International Journal of Production Research;53(9);2730–2750;N/A;8
Wu, L., S. Suzuki;2015;Cell Formation Design with Improved Similarity Coefficient Method and Decomposed Mathematical Model;The International Journal of Advanced Manufacturing Technology;79(5–8);1335–1352;N/A;8
Yang, F. C., Y. P. Wang;2007;Water Flow-like Algorithm for Object Grouping Problems;Journal of the Chinese Institute of Industrial Engineers;24(6);475–488;N/A;8
Yin, Y., K. Yasuda;2002;Manufacturing Cells’ Design of Various Production Factors;International Journal of Production Research;40;885–906;N/A;8
Yin, Y., K. Yasuda;2006;Similarity Coefficient Methods Applied to the Cell Formation Problem: A Taxonomy and Review;International Journal of Production Economics;101;329–352;N/A;8
Arikan, F, and Z G ̈ung ̈or;2009;Modeling of a manufacturing cell design problem with;Mathematical and Computer;N/A;407–420;N/A;9
Ballakur, A;1985;An investigation of part family/machine group formation in designing;Ph.D. Thesis, University of Wisconsin, Madison;N/A;N/A;N/A;9
Bhide, P, A Bhandwale and T Kesavadas;2005;Cell formation using multiple process plans;Journal of Intelligent Manufacturing;16;53–65;N/A;9
Cao, D and M Chen;2005;A robust cell formation approach for varying product demands;International Journal of Production Research;43;1587–1605;N/A;9
Chung, S, T Wu and C Chang;2010;An efficient tabu search algorithm to the cell formation problem with;Computers and Industrial Engineering;60(1);7–15;N/A;9
Das, K, R Lashkari and S Sengupta;2007;Reliability consideration in the design and analysis of cellular;International Journal of Production Economics;105;243–262;N/A;9
Diallo, M, H Perreval and A Quillot;2001;Manufacturing cell design with flexible routing capability in presence;International Journal of Production Economics;74(1–3);175–182;N/A;9
Ghezavati, VR and M Saidi-Mehrabad;2011;An efficient hybrid self-learning method for stochastic cellular;Expert Systems with Applications;38(3);1326–1335;N/A;9
Haibo, W, A Bahram, G Fred and K Gary;2006;Solving group technology problems via clique partitioning;International Journal of Flexible Manufacturing;18(2);77–97;N/A;9
Heragu, SS;1994;Group technology and cellular manufacturing;IEEE Transactions on Systems, Man and Cybernetics;24(2);203–214;N/A;9
Jabal Ameli, MS and J Arkat;2008;Cell formation with alternative process routings and machine;International Journal of Advanced Manufacturing;35;761–768;N/A;9
Jabal Ameli, MS, J Arkat and F Barzinpour;2008;Modelling the effects of machine breakdowns in the generalized;International Journal of Advanced Manufacturing;39;838–850;N/A;9
Joc Cing, T and H Nhu Binh;2008;Evolving dispatching rules using genetic programming for solving;Computers and Industrial Engineering;54(3);453–473;N/A;9
Kao, Y and YL Li;2008;Ant colony recognition systems for part clustering problems;International Journal of Production Research;46(15);4237–4258;N/A;9
Kazerooni, M, HSL Luong and K Abhary;1997;A genetic algorithm based cell design considering alternative routing;Computer Integrated Manufacturing Systems;10(2);93–108;N/A;9
Kim, CO, JG Baek and JK Baek;2004;A two-phase heuristic algorithm for cell formation problems;International Journal of Production Research;42(18);3911–3927;N/A;9
Kirkpatrick, S, CD Gelatt and MP Vecchi;1983;Optimization by simulated annealing;Science;220(4598);671–680;N/A;9
Kusiak, A;1987;The generalized group technology concept;International Journal of Production Research;25;561–569;N/A;9
Li, J, C-H Chu, Y Wang and W Yan;2007;An improved fuzzy clustering method for cellular manufacturing;International Journal of Production Research;45(5);1049–1062;N/A;9
Lin, S, NDJ Gupta, Y Kuo-Ching and L Zne-Jung;2008;Using simulated annealing to schedule a flow shop manufacturing cell;International Journal of Production Research;47(12);3205–3217;N/A;9
Logendran, R and D Talkington;1997;Analysis of cellular and functional manufacturing system in the presence of machine breakdown;International Journal of Production Economics;53(3);239–256;N/A;9
Lozano, S, B Adenso-Diaz and L Onieva;1999;A one-step tabu search algorithm for manufacturing cell design;Journal of the Operational Research Society;50;509–516;N/A;9
Lozano, S, F Guerrero, I Eguia and L Onieva;1999;Cell design and loading in the presence of alternative routing;International Journal of Production Research;37;3289–3304;N/A;9
Mahdavi, I, A Aalaei, MM Paydar and M Solimanpur;2012;A new mathematical model for integrating all incidence matrices in multi-dimensional cellular manufacturing system;Journal of Manufacturing Systems;31;214–223;N/A;9
Mahdavi, I, A Aalaei, MM Paydar and M Solimanpur;2010;Designing a mathematical model for dynamic cellular manufacturing systems considering production planning and worker assignment;Computers and Mathematics with Applications;60(4);1014–1025;N/A;9
Malave, CO and S Ramachandran;1991;Neural network-based design of cellular manufacturing systems;Journal of Intelligent Manufacturing;2;305–314;N/A;9
Mitrofanov, SP;1966;The Scientific Principles of Group Technology. Yorks: Boston Spa, UK: National Lending Library Translation;N/A;N/A;N/A;N/A;9
Mukhopadhyay, SK, BK Ramesh, K Sai and V Vijai;2009;A note on modified Hamiltonian chain: A graph theoretic approach to group technology;International Journal of Production Research;47(1);289–298;N/A;9
Nouri, H and TS Hong;2012;A bacteria foraging algorithm based cell formation considering operation time;Journal of Manufacturing Systems;N/A;doi:10.1016/j.jmsy.2012.03.001;N/A;9
Nsakanda, AL, M Diaby and WL Price;2006;Hybrid genetic approach for solving large-scale capacitated cell formation problems with multiple routings;European Journal of Operation Research;171;1051–1070;N/A;9
Osman, IB;2004;Metaheuristics: Models, design and analysis. In Fifth Asia Pacific Industrial Engineering and Management Systems Conf.;Asia Pacific Industrial Engineering and Management Society;N/A;N/A;N/A;9
Pailla, A, AR Trindade, V Parada and LS Ochi;2010;A numerical comparison between simulated annealing and evolutionary approaches to the cell formation problem;Expert Systems with Applications;N/A;5476–5483;N/A;9
Paydar, MM, I Mahdavi, I Sharafeddin and M Solimanpur;2010;Designing cellular manufacturing systems using MDmTSP: Simulated annealing methodology;Computers and Industrial Engineering;59(4);929–936;N/A;9
Pillai, VM and K Subbarao;2008;A robust cellular manufacturing system design for dynamic part population using a genetic algorithm;International Journal of Production Research;46(18);5191–5210;N/A;9
Reisman, A, A Kumar, J Motwani and C Cheng;1997;Cellular manufacturing: A statistical review of the literature;Operations Research;45;508–520;N/A;9
Selim, HM, RG Askin and AJ Vakharia;1998;Cell formation in group technology: Review evaluation and directions for future research;Computers and Industrial Engineering;43;3–20;N/A;9
Silver, EA;2004;An overview of heuristic solution methods;Journal of the Operational Research Society;N/A;936–956;N/A;9
Singh, N and D Rajamani;1996;Cellular Manufacturing Systems: Design, Planning and Control;London: Chapman and Hall;N/A;N/A;N/A;9
Solimanpur, M and A Foroughi;2011;A new approach to the cell formation problem with alternative processing routes and operation sequence;International Journal of Production Research;N/A;N/A;doi:10.1080/00207543.2010.528060;9
Solimanpur, M, S Saeedi and I Mahdavi;2010;Solving cell formation problem in cellular manufacturing using ant-colony-based optimization;International Journal of Advanced Manufacturing Technology;N/A;1135–1144;N/A;9
Sudhakara Pandian, R and SS Mahapatra;2009;Manufacturing cell formation with production data using neural networks;Computers and Industrial Engineering;N/A;1340–1347;N/A;9
Tavakkoli-Moghaddam, R, MB Aryanezhad, N Safaei, M Vasei and A Azaron;2007;A new approach for the cellular manufacturing problem in fuzzy dynamic conditions by a genetic algorithm;Journal of Intelligent Fuzzy Systems;18(4);363–376;N/A;9
Venkumar, P and AN Haq (2006a);2006;Complete and fractional cell formation using Kohonen self-organizing map networks in a cellular manufacturing system;International Journal of Production Research;44(20);4257–4271;N/A;9
Venkumar, P and AN Haq (2006b);2006;Fractional cell formation in group technology using modified ART1 neural networks;International Journal of Advanced Manufacturing Technology;28(7–8);761–765;N/A;9
Wemmerlov, U and NL Hyer;1989;Cellular manufacturing in the US industry: A survey of users;International Journal of Production Research;27(9);1511–1530;N/A;9
Wu, TH, CC Chang and SH Chung;2008;A simulated annealing algorithm to manufacturing cell formation problems;Expert Systems with Applications;34;1609–1617;N/A;9
Wu, TH, SH Chung and CC Chang;2008;Hybrid simulated annealing algorithm with mutation operator to the cell formation problem with alternative process routings;Expert Systems with Applications;36;3652–3661;N/A;9
Yin, Y and K Yasuda;2006;Similarity coefficient methods applied to the cell formation problem: A taxonomy and review;International Journal of Production Economics;101(2);329–352;N/A;9
Yin, Y, K Yasuda and L Hu;2005;Formation of manufacturing cells based on material flows;International Journal of Advanced Manufacturing Technology;27;159–165;N/A;9
Zakarian, A and A Kusiak;1997;Modeling manufacturing dependability;IEEE Transactions Robotics and Automation;13(2);161–168;N/A;9
Agarwal, A. and Sarkis, J.A.;1998;Review and analysis of comparative performance studies of functional and cellular manufacturing layouts;Computers and Industrial Engineering;34 (1);77–89;N/A;10
Askin, R.G., Selim, H.M., and Vakharia, A.J.;1997;A methodology for designing flexible cellular manufacturing systems;IIE Transactions;29 (7);599–610;N/A;10
Askin, R.G. and Estrada, S.;1999;Investigation of cellular manufacturing practices;Handbook of cellular manufacturing systems, S.A. Irani (Ed.);N/A;25–34;N/A;10
Bedworth, D.D., Henderson, M.R., and Wolfe, M.R.;1991;Computer integrated design and manufacturing;New York: McGraw-Hill;N/A;N/A;N/A;10
Boughton, N.J. and Arokiam, I.C.;2000;The application of cellular manufacturing: a regional small to medium enterprise perspective;Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture;214 (8);751–754;N/A;10
Chen, M.;1998;A mathematical programming model for system reconfiguration in a dynamic cellular manufacturing environment;Annals of Operations Research;77;109–12;N/A;10
Das, K., Lashkari, R.S., and Sengupta, S.;2006;Reliability considerations in the design and analysis of cellular manufacturing systems;International Journal of Production Economics;105 (1);243–262;N/A;10
Das, K. and Abdul-Kader, W.;2007;Consideration of dynamic changes in machine reliability and parts demand in the design of cellular manufacturing systems;Proceedings of 6th international conference 2007 on quality reliability and maintenance, Oxford, UK;N/A;13–20;N/A;10
Ebeling, C.E.;1997;An introduction to reliability and maintainability engineering;New York: McGraw-Hill;N/A;N/A;N/A;10
Harhalakis, G., et al.;1994;Manufacturing cell formation under random product demand;International Journal of Production Research;32 (1);47–64;N/A;10
Joines, J.A., King, R.E., and Culbreth, C.T.;1996;A comprehensive review of production-oriented manufacturing cell formation techniques;International Journal of Flexible Automation and Intelligent Manufacturing;3 (3–4);120–161;N/A;10
Mansouri, S.A., Husseini, S.M.M., and Newman, S.T.;2000;A review of modern approaches to multi-criteria cell design;International Journal of Production Research;38 (5);1201–1218;N/A;10
Naskanda, A.L., Diaby, M., and Price, W.L.;2006;Hybrid genetic approach for solving large scale capacitated cell formation problems with multiple routings;European Journal of Operational Research;171 (3);1051–1070;N/A;10
Selim, H.M., Askin, R.G., and Vakharia, A.;1998;Cell formation in group technology: review, evaluation and directions for future research;Computers and Industrial Engineering;34 (1);3–20;N/A;10
Seifoddini, S. and Djassemi, M.;1996;Sensitivity analysis in cellular manufacturing in the case of product mix variations;Computers and Industrial Engineering;31 (1–2);163–167;N/A;10
Seifoddini, S. and Djassemi, M.;2001;The effect of reliability considerations on the application of quality index;Computers and Industrial Engineering;40 (1–2);65–77;N/A;10
Solimanpur, M., Vrat, P., and Shankar, R.;2004;Ant colony optimization algorithm to the inter-cell layout problem in cellular manufacturing;European Journal of Operational Research;157 (3);592–606;N/A;10
Stawowy, A.;2006;Evolutionary strategy for manufacturing cell design;Omega;34 (1);1–18;N/A;10
Tavakkoli-Moghaddam, R., et al.;2009;A simulated annealing method for solving a new mathematical model of a multi-criteria cell formation problem with capital constraints;Advances in Engineering Software;40 (4);268–273;N/A;10
Vakharia, A.J. and Kaku, B.K.;1993;Redesigning a cellular manufacturing system to handle long-term demand changes: a methodology and investigation;Decision Sciences;24 (5);909–929;N/A;10
Wemmerlov, U. and Hyer, N.L.;1986;Procedures for the part family/machine group identification problem in cellular manufacturing;Journal of Operations Management;6 (2);125–147;N/A;10
Wemmerlov, U. and Hyer, N.L.;1989;Cellular manufacturing in the U.S. industry: a survey of users;International Journal of Production Research;27 (9);1511–1530;N/A;10
Wemmerlov, U. and Johnson, D.J.;1997;Cellular manufacturing at 46 user plants: Implementations experiences and performance improvements;International Journal of Production Research;35 (1);29–49;N/A;10
Wicks, E.M. and Reasor, R.J.;1999;Designing cellular manufacturing systems with dynamic part populations;IIE Transactions;31 (1);11–20;N/A;10
Wang, H.;2002;A survey of maintenance policies of deteriorating systems;European Journal of Operational Research;139 (3);469–489;N/A;10
Wu, X., et al.;2007;A genetic algorithm for cellular manufacturing design and layout;European Journal of Operational Research;181 (1);156–167;N/A;10
Albadawi, Z., Bashir, H. A., & Chen, M.;2005;A mathematical approach for the formation of manufacturing cells;Computers and Industrial Engineering;48;3–21;N/A;11
Alhourani, F., & Seifoddini, H.;2007;Machine cell formation for production management in cellular manufacturing systems;International Journal of Production Research;45(4);913–934;N/A;11
Ballakur, A., & Steudel, H. J.;1987;A within cell utilization based heuristic for designing cellular manufacturing systems;International Journal of Production Research;25;639–655;N/A;11
Bhide, P., Bhandwale, A., & Kesavadas, T.;2005;Cell formation using multiple process plans;Journal of Intelligent Manufacturing;16;53–65;N/A;11
Boctor, F.;1991;A linear formulation of the machine-part cell formation problem;International Journal of Production Research;29(2);343–356;N/A;11
Burbidge, J. L.;1975;The introduction of group technology;New York: Wiley;N/A;N/A;N/A;11
Das, K., Lashkari, R. S., & Sengupta, S.;2007;Reliability consideration in the design and analysis of cellular manufacturing systems;International Journal of Production Economics;105;243–262;N/A;11
Diallo, M., Perreval, H., & Quillot, A.;2001;Manufacturing cell design with flexible routing capability in presence of unreliable machines;International Journal of Production Economics;74(1–3);175–182;N/A;11
Diaz, B. A., Lozano, S., Racero, J., & Guerrero, F.;2001;Machine cell formation in generalized group technology;Computers and Industrial Engineering;41;227–240;N/A;11
Glover, F.;1989;Tabu search—Part I;ORSA Journal on Computing;1(3);190–206;N/A;11
Glover, F.;1990;Tabu search—Part II;ORSA Journal on Computing;2(1);4–32;N/A;11
Hu, L., & Yasuda, K.;2006;Minimising material handling cost in cell formation with alternative processing routes by grouping genetic algorithm;International Journal of Production Research;44;2133–2167;N/A;11
Jabal Ameli,M. S., & Arkat, J.;2008;Cell formation with alternative process routings and machine reliability consideration;International Journal of Advanced Manufacturing Technology;35;761–768;N/A;11
Jabal Ameli, M. S., Arkat, J., & Barzinpour, F.;2008;Modelling the effects of machine breakdowns in the generalized cell formation problem;International Journal of Advanced Manufacturing Technology;39;838–850;N/A;11
Jeon, G., Broering, M., Leep, H. R., Parsaei, H. R., & Wong, J. P.;1998;Part family formation based on alternative routes during machine failure;Computers and Industrial Engineering;35(1–2);73–76;N/A;11
Kazerooni, M., Luong, H. S., & Abhary, K.;1997;A genetic algorithm based cell design considering alternative routing;Computer Integrated Manufacturing Systems;10(2);93–107;N/A;11
Kim, C.-O., Baek, J.-G., & Baek, J.-K.;2004;A two-phase heuristic algorithm for cell formation problems considering alternative part routes and machine sequences;International Journal of Production Research;42(18);3911–3927;N/A;11
Kumar, K. R., Kusiak, A., & Vannelli, A.;1986;Grouping of parts and components in flexible manufacturing systems;International Journal of Production Research;24;387–397;N/A;11
Kusiak, A.;1987;The generalized group technology concept;International Journal of Production Research;25;561–569;N/A;11
Kusiak, A., & Cho, M.;1992;Similarity coefficient algorithms for solving the group technology problem;International Journal of Production Research;30;2633–2646;N/A;11
Lee, M. K., Luong, H. S., & Abhary, K.;1997;A genetic algorithm based cell design considering alternative routing;Computer Integrated Manufacturing Systems;10(2);93–108;N/A;11
Lei, D., & Wu, Z.;2005;Tabu search approach based on a similarity coefficient for cell formation in generalized group technology;International Journal of Production Research;43(19);4035–4047;N/A;11
Logendran, R., & Talkington, D.;1997;Analysis of cellular and functional manufacturing system in the presence of machine breakdown;International Journal of Production Economics;53(3);239–256;N/A;11
Lozano, S., Adenso-Diaz, B., & Onieva, L.;1999;A one-step tabu search algorithm for manufacturing cell design;Journal of the Operational Research Society;50;509–516;N/A;11
Lozano, S., Guerrero, F., Eguia, I., & Onieva, L.;1999;Cell design and loading in the presence of alternative routing;International Journal of Production Research;37;3289–3304;N/A;11
McAuley, J.;1972;Machine grouping for efficient production;Production Engineer;52;53–57;N/A;11
Mitrovanov, S. P.;1966;The Scientific Principles of Group Technology;Boston Spa, Yorkshire: National Lending Library Translation;N/A;N/A;N/A;11
Nair, G. J., & Narendran, T. T.;1998;CASE: A clustering algorithm for cell formation with sequence data;International Journal of Production Research;36;157–179;N/A;11
Savsar, M.;2000;Reliability analysis of a flexible manufacturing cell;Reliability Engineering & System Safety;67;147–152;N/A;11
Seifoddini, H., & Djassemi, M.;1995;Merits of the production volume based similarity coefficient in machine cell formation;Journal of Manufacturing Systems;14;35–44;N/A;11
Sofianopoulou, S.;1999;Manufacturing cells design with alternative process plans and/or replicate machines;International Journal of Production Research;37;707–720;N/A;11
Srinivasan, G., Narendran, T., & Mahadevan, B.;1990;An assignment model for the part families problem in group technology;International Journal of Production Research;28(1);145–152;N/A;11
Sun, D., Lin, L., & Batta, R.;1995;Cell formation using tabu search;Computers and Industrial Engineering;28;485–494;N/A;11
Wang, J.;2003;Formation of machine cells and part families in cellular manufacturing systems using a linear assignment algorithm;Automatica;39;1607–1615;N/A;11
Wemmerlov, U., & Hyer, N.;1987;Research issues in cellular manufacturing;International Journal of Production Research;25;413–431;N/A;11
Won, Y. K., & Kim, S. H.;1997;Multiple criteria clustering algorithm for solving the group technology problem with multiple process routings;Computers and Industrial Engineering;32;207–220;N/A;11
Wu, T.-H., Chang, C.-C., & Chung, S.-H.;2008;A simulated annealing algorithm to manufacturing cell formation problems;Expert Systems with Applications;34;1609–1617;N/A;11
Wu, T.-H., Chung, S.-H., & Chang, C.-C.;2008;Hybrid simulated annealing algorithm with mutation operator to the cell formation problem with alternative process routings;Expert Systems with Applications;36;3652–3661;N/A;11
Wu, T.-H., Low, C., & Wu, W.-T.;2004;A tabu search approach to the cell formation problem;International Journal of Advanced Manufacturing Technology;23;916–924;N/A;11
Yin, Y., & Yasuda, K.;2006;Similarity coefficient methods applied to the cell formation problem: A taxonomy and review;International Journal of Production Economics;101;329–352;N/A;11
Zakarian, A., & Kusiak, A.;1997;Modeling manufacturing dependability;IEEE Transactions Robotics and Automation;13(2);161–168;N/A;11
Logendran, R. and Talkington, D.;1997;Analysis of cellular and functional manufacturing systems in the presence of machine breakdown;Int. J. Prod. Economics;53;239–256;N/A;12
Ebeling, C. E.;1997;An introduction to reliability and maintainability engineering;N/A;N/A;N/A;N/A;12
Das, K., Lashkari, R. S., and Sengupta, S.;2007;Reliability consideration in the design and analysis of cellular manufacturing systems;Int. J. Prod. Economics;105(1);243–262;N/A;12
Safaei, N., Saidi-Mehrabad, M., and Jabal-Ameli, M. S.;2008;A hybrid simulated annealing for solving an extended model of dynamic cellular manufacturing system;Eur. J. Opl Res.;185(2);563–592;N/A;12
Rheault, M., Drolet, J., and Abdulnour, G.;1995;Physically reconfigurable virtual cells: a dynamic model for a highly dynamic environment;Comput. and Ind. Engng;29(1–4);221–225;N/A;12
Gupta, S. M. and Kavusturucu, A.;1998;Modeling of finite buffer cellular manufacturing systems with unreliable machines;Int. J. Ind. Engng;5(4);265–277;N/A;12
Jeon, G., Broering, M., Leep, H. R., Parsaei, H. R., and Wong, J. P.;1998;Part family formation based on alternative routes during machine failure;Comput. and Ind. Engng.;35(1–2);73–76;N/A;12
Seifoddini, H. and Djassemi, M.;2001;The effect of reliability consideration on the application of quality index;Comput. and Ind. Engng.;40;65–77;N/A;12
Diallo, M., Pierreval, H., and Quilliot, A.;2001;Manufacturing cells design with flexible routing capability in presence of unreliable machines;Int. J. Prod. Economics;74;175–182;N/A;12
Kuhn, H.;1997;A dynamic lot sizing model with exponential machine breakdowns;Eur. J. Opl Res.;100;514–536;N/A;12
Kacem, I. and Chu, C.;2008;Efficient branch-and-bound algorithm for minimizing the weighted sum of completion times on a single machine with one availability constraint;Int. J. Prod. Economics;112(1);138–150;N/A;12
Kazerooni M, Luong HS, Abhary K;1997;A genetic algorithm based cell design considering alternative routing;Comput Integr Manuf Syst;10(2);93–107;N/A;13
Arkat J, Saidi M, Abbasi B;2006;Applying simulated annealing to cellular manufacturing system design;Int J Adv Manuf Technol;32(6);531–536;N/A;13
Zhao C, Wu Z;2000;A genetic algorithm for manufacturing cell formation with multiple routes and multiple objectives;Int J Prod Res;38(2);385–395;N/A;13
